id,type,src_ip,username,attempts,rule_id,status,created_at,severity
1,bruteforce,196.251.83.100,ubuntu,7,ssh_bruteforce,open,2026-08-04 06:33:41.216906,critical
2,password_spraying,multiple,system,5,password_spraying,open,2026-08-04 06:33:44.889081,critical
3,bruteforce,185.220.101.42,admin,3,ssh_bruteforce,open,2026-08-04 06:33:49.944403,high
4,password_spraying,multiple,system,6,password_spraying,open,2026-08-04 06:33:57.260567,critical
5,bruteforce,178.128.95.10,admin,7,ssh_bruteforce,open,2026-08-04 06:34:06.451554,critical
6,bruteforce,45.33.32.156,root,6,ssh_bruteforce,open,2026-08-04 06:34:15.446524,critical
7,password_spraying,multiple,system,7,password_spraying,open,2026-08-04 06:34:27.373774,critical
8,password_spraying,multiple,system,7,password_spraying,open,2026-08-04 06:34:27.999981,critical
9,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 06:34:40.366731,critical
10,password_spraying,multiple,system,8,password_spraying,open,2026-08-04 06:34:41.566297,critical
11,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 06:34:44.531593,critical
12,bruteforce,80.94.95.116,ubuntu,3,ssh_bruteforce,open,2026-08-04 06:34:56.720978,high
13,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 06:35:31.625851,critical
14,bruteforce,103.140.187.60,ubuntu,6,ssh_bruteforce,open,2026-08-04 06:35:42.415224,critical
15,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 06:36:00.225672,critical
16,password_spraying,multiple,system,9,password_spraying,open,2026-08-04 06:36:03.393933,critical
17,password_spraying,multiple,system,10,password_spraying,open,2026-08-04 06:36:09.247084,critical
18,password_spraying,multiple,system,10,password_spraying,open,2026-08-04 06:36:10.602067,critical
19,password_spraying,multiple,system,11,password_spraying,open,2026-08-04 06:36:14.155509,critical
20,password_spraying,multiple,system,11,password_spraying,open,2026-08-04 06:36:15.162008,critical
21,password_spraying,multiple,system,12,password_spraying,open,2026-08-04 06:36:18.151641,critical
22,password_spraying,multiple,system,12,password_spraying,open,2026-08-04 06:36:19.056255,critical
23,password_spraying,multiple,deploy,5,password_spraying,open,2026-08-04 06:36:25.904356,critical
